TerritoryID,country,city
1,Germany,Berlin
2,Mexico,Mexico City
3,UK,London
4,Sweden,LuleÜ
5,Germany,Mannheim
6,France,Strasbourg
7,Spain,Madrid
8,France,Marseille
9,Canada,Tsawassen
10,Argentina,Buenos Aires
11,Switzerland,Bern
12,Brazil,Sao Paulo
13,Germany,Aachen
14,France,Nantes
15,Austria,Graz
16,France,Lille
17,Sweden,BrÑcke
18,Germany,MÅnchen
19,Italy,Torino
20,Portugal,Lisboa
21,Spain,Barcelona
22,Spain,Sevilla
23,Brazil,Campinas
24,USA,Eugene
25,Venezuela,Caracas
26,Brazil,Rio de Janeiro
27,Venezuela,San Crist¢bal
28,USA,Elgin
29,Ireland,Cork
30,UK,Cowes
31,Germany,Brandenburg
32,France,Versailles
33,France,Toulouse
34,Canada,Vancouver
35,USA,Walla Walla
36,Germany,Frankfurt a.M.
37,USA,San Francisco
38,Venezuela,Barquisimeto
39,Venezuela,I. de Margarita
40,USA,Portland
41,Italy,Bergamo
42,Belgium,Bruxelles
43,Canada,MontrÇal
44,Germany,Leipzig
45,USA,Anchorage
46,Germany,Kîln
47,France,Paris
48,Austria,Salzburg
49,Germany,Cunewalde
50,USA,Albuquerque
51,Italy,Reggio Emilia
52,Switzerland,Genäve
53,Norway,Stavern
54,USA,Boise
55,Denmark,Kobenhavn
56,USA,Lander
57,Belgium,Charleroi
58,USA,Butte
59,Germany,MÅnster
60,USA,Kirkland
61,Denmark,èrhus
62,France,Lyon
63,France,Reims
64,Germany,Stuttgart
65,Finland,Oulu
66,Brazil,Resende
67,USA,Seattle
68,Finland,Helsinki
69,Poland,Warszawa
